Merchant_Keyword,Merchant_Clean,Category,Subcategory,Aliases
ENBDcc payment,ENBDcc payment,Financial & Transfers,BNPL / Repayments,
FAB,FAB,Financial & Transfers,Credit Card Payment,
Paypal,PayPal,Financial & Transfers,Transfers,
Tabby,Tabby,Financial & Transfers,BNPL / Repayments,
Fiverr,Fiverr,Freelance & Professional,Freelance Services,
Fiverr.Com,Fiverr,Freelance & Professional,Freelance Services,
Gulftalent,Gulftalent,Freelance & Professional,Job Search,
Sa bettercv,Sa Bettercv,Freelance & Professional,Job Search,
Ferns N Petals,Ferns N Petals,"Gifts, Charity & Misc",Gifts,
Impactguru,ImpactGuru,"Gifts, Charity & Misc",Charity & Zakat,
U d man floral trd ll,U D Man Floral Trd Ll,"Gifts, Charity & Misc",Gifts,
Joy Alukkas,Joy Alukkas,Gold & Jewellery,Jewellery (Fashion),
Malabar Gold & Diamonds,Malabar Gold & Diamonds,Gold & Jewellery,Jewellery EMI,
Tap joyalukkas,Joy Alukkas,Gold & Jewellery,Jewellery (Fashion),
amer,Amer Centre,Government,Government Fees,amer
emirates id,Emirates ID,Government,Government Fees,emirates id
gdrfa,GDRFA,Government,Government Fees,gdrfa
carrefour,Carrefour,Groceries,Supermarket,carrefour|carrefour mae|carrefour mall
choithrams,Choithrams,Groceries,Supermarket,choithrams
lulu,Lulu Hypermarket,Groceries,Supermarket,lulu|lulu hyper
spinneys,Spinneys,Groceries,Supermarket,spinneys|spinneys moe
union coop,Union Coop,Groceries,Supermarket,union coop
waitrose,Waitrose,Groceries,Supermarket,waitrose
Al adil trading co llc,Al adil trading co llc,Groceries & Household,Indian Specialty,
Al adil trd llc karama,Al Adil Trading,Groceries & Household,Indian Specialty,
Al adil trd llc qusai,Al adil trd llc qusai,Groceries & Household,Indian Specialty,
Al basma trading llc,Al basma trading llc,Groceries & Household,Supermarket,
Al karama palm supmrkt,Al karama palm supmrkt,Groceries & Household,Supermarket,
Al khat al mustaqim re,Al Khat Al Mustaqim Re,Groceries & Household,Supermarket,
Al madeena express llc,Al madeena express llc,Groceries & Household,Indian Specialty,
Al Madina,Al Madina,Groceries & Household,Supermarket,
Al Maya,Al Maya,Groceries & Household,Supermarket,
Bright daily,Bright Daily,Groceries & Household,Supermarket,
Carryfood smrkt al nah,Carryfood smrkt al nah,Groceries & Household,Supermarket,
Danube,Danube,Groceries & Household,Supermarket,
Emirates Coop,Emirates Coop,Groceries & Household,Supermarket,
Geidea pick and pack m,Pick & Pack,Groceries & Household,Supermarket,
Gmg Consumer,Gmg Consumer,Groceries & Household,Supermarket,
Géant,Géant,Groceries & Household,Supermarket,
Hopinz supermarket llc,Hopinz supermarket llc,Groceries & Household,Supermarket,
Khalil haji foodstuff,Khalil Haji,Groceries & Household,Indian Specialty,
Kibsons,Kibsons,Groceries & Household,Online Grocery,
Kodiyal,Kodiyal trading llc,Groceries & Household,Indian Specialty,
Kodiyal trading llc,Kodiyal trading llc,Groceries & Household,Indian Specialty,
Nesto,Nesto,Groceries & Household,Supermarket,
New West Zone Supermar,New West Zone Supermar,Groceries & Household,Supermarket,
Perumal flowers tradin,Perumal flowers tradin,Groceries & Household,Indian Specialty,
Perumal stores gen tr,Perumal stores gen tr,Groceries & Household,Indian Specialty,
Perumal stores gnrl,Perumal Stores,Groceries & Household,Indian Specialty,
Perumal stores gnrl br,Perumal stores gnrl br,Groceries & Household,Indian Specialty,
Perumalstoresgentr,Perumalstoresgentr,Groceries & Household,Indian Specialty,
Regal Plus,Regal Plus,Groceries & Household,Supermarket,
Shamal al malaki,Shamal Al Malaki,Groceries & Household,Supermarket,
Tajunnisa vegetables,Tajunnisa vegetables,Groceries & Household,Indian Specialty,
Tajunnisa vegetables n,Tajunnisa vegetables,Groceries & Household,Indian Specialty,
Waterfront market,Waterfront market vegetables and fruits,Groceries & Household,Supermarket,
Waterfront market vegetables and fruits,Waterfront market vegetables and fruits,Groceries & Household,Supermarket,
West Zone,West Zone,Groceries & Household,Supermarket,
West Zone Fresh,West Zone Fresh,Groceries & Household,Supermarket,
800 Pharmacy,800 Pharmacy,Health & Medical,Pharmacy,
Ahlan Pharmacy,Ahlan Pharmacy,Health & Medical,Pharmacy,
Aster Clinic,Aster Clinic,Health & Medical,GP & Clinic,
Aster Pharmacy,Aster Pharmacy,Health & Medical,Pharmacy,
Cleveland Clinic,Cleveland Clinic,Health & Medical,GP & Clinic,
De gogym fitness llc,De gogym fitness llc,Health & Medical,Gym & Fitness,
Emitac healthcare,Emitac healthcare,Health & Medical,GP & Clinic,
Family Clinic,Family Clinic,Health & Medical,Doctor / Clinic,
Glucare health,GluCare,Health & Medical,Doctor / Clinic,
Glucare integrated,Glucare integrated,Health & Medical,Doctor / Clinic,
Glucare integrated dia,Glucare integrated dia,Health & Medical,Doctor / Clinic,
NMC Hospital,NMC Hospital,Health & Medical,GP & Clinic,
Yateem Optician,Yateem Optician,Health & Medical,Optical,
aster,Aster,Health & Wellness,Medical,aster
beam fitness,Beam Fitness,Health & Wellness,Gym,beam fitness
boots,Boots Pharmacy,Health & Wellness,Pharmacy,boots
fitness first,Fitness First,Health & Wellness,Gym,fitness first
gymnation,GymNation,Health & Wellness,Gym,gymnation
life pharmacy,Life Pharmacy,Health & Wellness,Pharmacy,life pharmacy
medcare,Medcare,Health & Wellness,Medical,medcare
mediclinic,Mediclinic,Health & Wellness,Medical,mediclinic
Car Wash,Car Wash,Housing & Home,Car wash,
House Help,House Help,Housing & Home,Housekeeping,
Rent,Rent,Housing & Home,Rent,
Maryaj perfumes llc,Maryaj perfumes llc,Personal Care,Perfumes & Oud,
Moment Perfumes,Moment Perfumes,Personal Care,Perfumes & Oud,
Mona beauty center br,Mona beauty center br,Personal Care,Ladies Salon,
Sephora,Sephora,Personal Care,Beauty & Grooming,
Simply Beauty Ladies,Simply Beauty Ladies,Personal Care,Beauty & Grooming,
The billionhairs barbe,The Billionhairs,Personal Care,Gents Barber,
The gentlemen times,The Gentlemen Times,Personal Care,Gents Barber,
The lounge gents,The lounge gents,Personal Care,Gents Barber,
ace,ACE,Shopping & Retail,Home & Garden,ace
Ace Hardware,ACE Hardware,Shopping & Retail,Home & Furniture,
Al Ameen Furniture,Al Ameen Furniture,Shopping & Retail,Home & Furniture,
amazon,Amazon AE,Shopping & Retail,Online Shopping,amazon|amazon ae|amazon.ae
Bd enterprises,BD Enterprises,Shopping & Retail,General Retail,
Big Ticket,Big Ticket,Shopping & Retail,Lottery & Raffle,
Centrepoint,Centrepoint,Shopping & Retail,Fashion & Clothing,
Daiso,Daiso,Shopping & Retail,General Retail,
emax,Emax,Shopping & Retail,Electronics,emax
H&M,H&M,Shopping & Retail,Fashion & Clothing,
Home Box,Home Box,Shopping & Retail,Home & Furniture,
home centre,Home Centre,Shopping & Retail,Home & Garden,home centre
ikea,IKEA,Shopping & Retail,Home & Garden,ikea
Madinat Jumeirah,Madinat Jumeirah,Shopping & Retail,General Retail,
Marks Spencer,Marks & Spencer,Shopping & Retail,Fashion & Clothing,
Max Fashion,Max Fashion,Shopping & Retail,Fashion & Clothing,
Miniso,Miniso,Shopping & Retail,General Retail,
Mumuso,Mumuso,Shopping & Retail,General Retail,
Mumuso Trading,Mumuso,Shopping & Retail,General Retail,
namshi,Namshi,Shopping & Retail,Apparel,namshi
noon,Noon,Shopping & Retail,Online Grocery,noon|noon ae
Pan emirates,Pan Emirates,Shopping & Retail,Home & Furniture,
Pen adn pencil station,Pen Adn Pencil Station,Shopping & Retail,Books & Stationery,
Qalamkar textile tradi,Qalamkar textile tradi,Shopping & Retail,Clothing & Fashion,
Sacoor brothers,Sacoor Brothers,Shopping & Retail,Clothing & Fashion,
sharaf dg,Sharaf DG,Shopping & Retail,Electronics,sharaf dg|sharaf
Temu,Temu,Shopping & Retail,Online Shopping,
The book hut fzc,The Book Hut Fzc,Shopping & Retail,Books & Stationery,
Uae lottery,Uae lottery,Shopping & Retail,Lottery & Raffle,
Uniqlo,Uniqlo,Shopping & Retail,Fashion & Clothing,
Virgin Megastore,Virgin Megastore,Shopping & Retail,General Retail,
Zara,Zara,Shopping & Retail,Clothing & Fashion,
chatgpt,ChatGPT,Subscriptions,AI Tools,chatgpt|openai
claude,Claude,Subscriptions,AI Tools,claude|anthropic
disney,Disney+,Subscriptions,Streaming,disney|disney+
google one,Google One,Subscriptions,Cloud Storage,google one
icloud,iCloud,Subscriptions,Cloud Storage,icloud|apple icloud
netflix,Netflix,Subscriptions,Streaming,netflix
shahid,Shahid,Subscriptions,Streaming,shahid
spotify,Spotify,Subscriptions,Streaming,spotify
Amazon Prime,Amazon Prime,Subscriptions & Digital,Streaming,
Anthropic,Anthropic,Subscriptions & Digital,AI Tools,
"Anthropic, PBC",Anthropic,Subscriptions & Digital,AI Tools,
Apple,Apple,Subscriptions & Digital,Apple Services,
APPLE.COM/BILL,Apple,Subscriptions & Digital,Apple Services,
APPLE.COM/BILL CORK IE,Apple,Subscriptions & Digital,Apple Services,
APPLE.COM/BILL ITUNES.COM IE,Apple,Subscriptions & Digital,Apple Services,
Boros studio,Boros studio,Subscriptions & Digital,AI Tools,
Cba parallels,Cba parallels,Subscriptions & Digital,SaaS & Productivity,
Datacamp inc,Datacamp inc,Subscriptions & Digital,Learning Platforms,
Disney+,Disney+,Subscriptions & Digital,Streaming,
Dropbox,Dropbox,Subscriptions & Digital,SaaS & Productivity,
Github,GitHub,Subscriptions & Digital,SaaS & Productivity,
Google,Google,Subscriptions & Digital,SaaS & Productivity,
Google Cloud,Google Cloud,Subscriptions & Digital,SaaS & Productivity,
Google CLOUD 66Q84P,Google Cloud,Subscriptions & Digital,SaaS & Productivity,
Google CLOUD MS2N5N,Google Cloud,Subscriptions & Digital,SaaS & Productivity,
Medium Annual,Medium Annual,Subscriptions & Digital,News & Media,
Microsoft,Microsoft,Subscriptions & Digital,SaaS & Productivity,
Microsoft microsoft,Microsoft microsoft,Subscriptions & Digital,SaaS & Productivity,
Microsoft store,Microsoft store,Subscriptions & Digital,SaaS & Productivity,
NEXTUAEAEDAPPLE1,Apple,Subscriptions & Digital,Apple Services,
Openai,OpenAI,Subscriptions & Digital,AI Tools,
OSN,OSN,Subscriptions & Digital,Streaming,
Starzplay,Starzplay,Subscriptions & Digital,Streaming,
SUPPORT.ASHK.IO,ASHK.IO,Subscriptions & Digital,AI Tools,
upg*paymentico,Paymentico,Subscriptions & Digital,SaaS & Productivity,
Www perplexity ai,Perplexity AI,Subscriptions & Digital,AI Tools,
YouTube,YouTube,Subscriptions & Digital,Streaming,
YouTube Premium,YouTube Premium,Subscriptions & Digital,Streaming,
adnoc,ADNOC,Transport,Fuel,adnoc
careem,Careem,Transport,Ride-Hailing,careem
emarat,Emarat,Transport,Fuel,emarat
enoc,ENOC,Transport,Fuel,enoc
parkin,Parkin,Transport,Tolls & Parking,parkin
roads and transport,RTA Salik,Transport,Tolls & Parking,roads and transport
rta,RTA,Transport,Public Transit,rta|rta dubai
salik,Salik,Transport,Tolls & Parking,salik
uber,Uber,Transport,Ride-Hailing,uber
yango,Yango,Transport,Ride-Hailing,yango
Abu Dhabi Taxi,Abu Dhabi Taxi,Transport & Vehicle,Taxi,
Artin Car Park,Artin Car Park,Transport & Vehicle,Salik & Parking,
Cars Taxi,Cars Taxi,Transport & Vehicle,Ride-Hailing,
Citi Taxi,Citi Taxi,Transport & Vehicle,Taxi,
